Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,Key,Id,Date,DateInTicks,TTL
38,0,0,0,125,0,417db1c3f6c5414092021ff2ca769e22,1a4564e4e05d452996962259bb7cbf90,1609,2020-02-01T12:34:40.6060-0500,637161752806060000,1596303281
13,0,0,18,42,0,417db1c3f6c5414092021ff2ca769e22,1a4564e4e05d452996962259bb7cbf90,1610,2020-02-01T12:36:20.4069-0500,637161753804069000,1596303380
96,0,1,63,525,0,417db1c3f6c5414092021ff2ca769e22,1a4564e4e05d452996962259bb7cbf90,1611,2020-02-01T12:37:36.1560-0500,637161754561560000,1596303456
33,0,0,176,80,0,417db1c3f6c5414092021ff2ca769e22,1a4564e4e05d452996962259bb7cbf90,1612,2020-02-01T12:39:32.5280-0500,637161755725280000,1596303573
7,0,0,0,0,0,417db1c3f6c5414092021ff2ca769e22,1a4564e4e05d452996962259bb7cbf90,1613,2020-02-01T12:41:59.1050-0500,637161757191050000,1596303719
