Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,Key,Id,Date,DateInTicks,TTL
29,17,1,58,0,0,318c42f457ab4fd291123fd53c06f8fc,2224,2019-12-19T11:50:32.5729-0500,637123710325729000,1592585433
15,0,0,29,0,0,318c42f457ab4fd291123fd53c06f8fc,2225,2019-12-19T11:52:14.1080-0500,637123711341080000,1592585534
15,0,0,29,0,0,318c42f457ab4fd291123fd53c06f8fc,2226,2019-12-19T11:59:45.9940-0500,637123715859940000,1592585986
4,0,0,87,29,0,318c42f457ab4fd291123fd53c06f8fc,2227,2019-12-19T12:04:05.5090-0500,637123718455090000,1592586246
15,0,0,30,0,0,318c42f457ab4fd291123fd53c06f8fc,2228,2019-12-19T12:05:51.5370-0500,637123719515370000,1592586352
21,9,1,90,30,0,318c42f457ab4fd291123fd53c06f8fc,2229,2019-12-19T12:09:09.4770-0500,637123721494770000,1592586549
