Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,SessionId,Key,Id,Date,DateInTicks,TTL
14,0,0,16,8,0,417db1c3f6c5414092021ff2ca769e22,,2e0d78f5d22f4a3facf4193c4f1487dd,28,2020-08-24T12:13:20.8530-0500,637338860008530000,1614186801
4,0,1,120,0,0,417db1c3f6c5414092021ff2ca769e22,,2e0d78f5d22f4a3facf4193c4f1487dd,29,2020-08-24T12:28:15.4480-0500,637338868954480000,1614187695
29,14,1,8,0,0,417db1c3f6c5414092021ff2ca769e22,,2e0d78f5d22f4a3facf4193c4f1487dd,30,2020-08-24T12:29:01.3530-0500,637338869413530000,1614187741
