Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,Key,Id,Date,DateInTicks,TTL
33,14,1,896,0,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,4456,2020-02-16T13:16:31.6590-0500,637174737916590000,1597601792
128,116,1,128,5376,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,4457,2020-02-16T13:17:37.0730-0500,637174738570730000,1597601857
15,0,0,129,0,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,4458,2020-02-16T13:20:02.6280-0500,637174740026280000,1597602003
39,20,2,650,0,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,4459,2020-02-16T13:21:29.6290-0500,637174740896290000,1597602090
13,7,1,262,0,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,4460,2020-02-16T13:22:30.6510-0500,637174741506510000,1597602151
52,37,1,2620,0,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,4461,2020-02-16T13:23:34.8900-0500,637174742148900000,1597602215
21,9,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,4462,2020-02-16T13:32:33.0220-0500,637174747530220000,1597602753
16,3,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,4463,2020-02-16T13:34:02.7810-0500,637174748427810000,1597602843
