Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,Key,Id,Date,DateInTicks,TTL
15,0,0,116,0,0,417db1c3f6c5414092021ff2ca769e22,2c241909eb624792ad0226844a899c12,1986,2020-02-04T15:44:21.4250-0500,637164458614250000,1596573861
11,0,0,580,0,0,417db1c3f6c5414092021ff2ca769e22,2c241909eb624792ad0226844a899c12,1987,2020-02-04T15:56:18.1830-0500,637164465781830000,1596574578
15,0,0,116,0,0,417db1c3f6c5414092021ff2ca769e22,2c241909eb624792ad0226844a899c12,1988,2020-02-04T16:00:11.2020-0500,637164468112020000,1596574811
