Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,Key,Id,Date,DateInTicks,TTL
2,0,0,66,0,0,2c241909eb624792ad0226844a899c12,119,2019-12-27T19:25:28.9110-0500,637130895289110000,1593303929
15,0,0,0,33,0,2c241909eb624792ad0226844a899c12,120,2019-12-27T19:25:48.6050-0500,637130895486050000,1593303949
21,4,1,198,0,0,2c241909eb624792ad0226844a899c12,121,2019-12-27T19:26:24.2910-0500,637130895842910000,1593303984
25,11,1,297,0,0,2c241909eb624792ad0226844a899c12,122,2019-12-27T19:28:55.5100-0500,637130897355100000,1593304136
15,0,0,33,0,0,2c241909eb624792ad0226844a899c12,123,2019-12-27T19:29:37.1160-0500,637130897771160000,1593304177
43,0,0,165,462,0,2c241909eb624792ad0226844a899c12,124,2019-12-27T19:31:17.2970-0500,637130898772970000,1593304277
9,2,1,102,0,0,2c241909eb624792ad0226844a899c12,125,2019-12-27T19:33:32.2550-0500,637130900122550000,1593304412
18,0,0,378,0,0,2c241909eb624792ad0226844a899c12,126,2019-12-27T19:34:03.5430-0500,637130900435430000,1593304444
5,1,1,111,111,0,2c241909eb624792ad0226844a899c12,127,2019-12-27T19:34:49.3740-0500,637130900893740000,1593304489
22,9,1,37,0,0,2c241909eb624792ad0226844a899c12,128,2019-12-27T19:35:30.8090-0500,637130901308090000,1593304531
