Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,Key,Id,Date,DateInTicks,TTL
15,7,1,222,0,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,5192,2020-02-25T18:46:56.7190-0500,637182712167190000,1598399217
1,0,0,150,0,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,5193,2020-02-25T18:48:00.1940-0500,637182712801940000,1598399280
15,0,0,75,0,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,5194,2020-02-25T18:48:43.8060-0500,637182713238060000,1598399324
1,0,0,150,0,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,5195,2020-02-25T18:50:49.0920-0500,637182714490920000,1598399449
17,5,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,5196,2020-02-25T18:51:54.0840-0500,637182715140840000,1598399514
22,2,2,375,75,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,5197,2020-02-25T18:57:50.1950-0500,637182718701950000,1598399870
15,0,0,225,0,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,5198,2020-02-25T18:58:40.1750-0500,637182719201750000,1598399920
3,0,0,225,0,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,5199,2020-02-25T18:59:06.6280-0500,637182719466280000,1598399947
15,2,1,825,375,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,5200,2020-02-25T19:00:41.8430-0500,637182720418430000,1598400042
104,79,7,0,1638,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,5201,2020-02-25T19:01:49.0070-0500,637182721090070000,1598400109
