Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,SessionId,Key,Id,Date,DateInTicks,TTL
19,11,1,236,590,0,417db1c3f6c5414092021ff2ca769e22,,115c61b3012b41e78814f61ad72bbb15,2091,2020-10-29T10:00:50.7120-0500,637395804507120000,1619708451
63,0,0,2242,0,0,417db1c3f6c5414092021ff2ca769e22,,115c61b3012b41e78814f61ad72bbb15,2092,2020-10-29T10:01:52.5560-0500,637395805125560000,1619708513
21,13,2,826,0,0,417db1c3f6c5414092021ff2ca769e22,,115c61b3012b41e78814f61ad72bbb15,2093,2020-10-29T10:03:13.6959-0500,637395805936959000,1619708594
22,9,1,236,590,0,417db1c3f6c5414092021ff2ca769e22,,115c61b3012b41e78814f61ad72bbb15,2094,2020-10-29T10:03:56.5910-0500,637395806365910000,1619708637
