Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,Key,Id,Date,DateInTicks,TTL
2,0,0,76,0,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,3044,2020-01-29T12:16:05.0100-0500,637159149650100000,1596042965
1,0,0,114,0,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,3045,2020-01-29T12:20:39.7990-0500,637159152397990000,1596043240
8,0,0,152,0,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,3046,2020-01-29T12:28:55.9020-0500,637159157359020000,1596043736
