Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,SessionId,Key,Id,Date,DateInTicks,TTL
28,0,0,6547,0,0,417db1c3f6c5414092021ff2ca769e22,,628ded2887a64a9b8f0d53865c70e090,695,2021-01-05T18:00:37.1790-0500,637454844371790000,1625526037
9,7,1,189,0,0,417db1c3f6c5414092021ff2ca769e22,,628ded2887a64a9b8f0d53865c70e090,696,2021-01-05T18:01:23.3830-0500,637454844833830000,1625526083
1,0,0,378,0,0,417db1c3f6c5414092021ff2ca769e22,,628ded2887a64a9b8f0d53865c70e090,697,2021-01-05T18:12:18.6580-0500,637454851386580000,1625526739
