Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,SessionId,Key,Id,Date,DateInTicks,TTL
219,208,2,24,294,0,417db1c3f6c5414092021ff2ca769e22,,4f1f7ce0016c4c98b2e39bfc193b6794,3201,2020-10-15T17:19:19.9080-0500,637383971599080000,1618525160
25,6,1,0,60,0,417db1c3f6c5414092021ff2ca769e22,,4f1f7ce0016c4c98b2e39bfc193b6794,3202,2020-10-15T17:23:15.8880-0500,637383973958880000,1618525396
29,0,0,159,0,0,417db1c3f6c5414092021ff2ca769e22,,4f1f7ce0016c4c98b2e39bfc193b6794,3203,2020-10-15T17:25:03.3300-0500,637383975033300000,1618525503
