Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,Key,Id,Date,DateInTicks,TTL
20,5,1,80,0,0,11ccd89d25d14680b4d74cadf92c1c00,338,2020-01-19T18:25:17.2980-0500,637150731172980000,1595201117
2,0,0,10,0,0,11ccd89d25d14680b4d74cadf92c1c00,339,2020-01-19T18:27:25.1550-0500,637150732451550000,1595201245
13,0,0,20,15,0,11ccd89d25d14680b4d74cadf92c1c00,340,2020-01-19T18:30:27.3570-0500,637150734273570000,1595201427
