Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,Key,Id,Date,DateInTicks,TTL
527,0,0,0,24245,0,096c10aac4214c11a67e10473671a3ca,66,2020-01-13T16:52:50.8850-0500,637145491708850000,1594677171
3,0,0,132,0,0,096c10aac4214c11a67e10473671a3ca,67,2020-01-13T17:01:55.2610-0500,637145497152610000,1594677715
92,0,0,132,2772,0,096c10aac4214c11a67e10473671a3ca,68,2020-01-13T17:04:56.5160-0500,637145498965160000,1594677897
5,0,0,0,132,0,096c10aac4214c11a67e10473671a3ca,69,2020-01-13T17:06:45.9940-0500,637145500059940000,1594678006
41,0,0,0,1386,0,096c10aac4214c11a67e10473671a3ca,70,2020-01-13T17:07:23.3300-0500,637145500433300000,1594678043
14,0,0,0,1452,0,096c10aac4214c11a67e10473671a3ca,71,2020-01-13T17:08:28.1480-0500,637145501081480000,1594678108
8,0,0,0,198,0,096c10aac4214c11a67e10473671a3ca,72,2020-01-13T17:09:18.1610-0500,637145501581610000,1594678158
5,0,0,0,264,0,096c10aac4214c11a67e10473671a3ca,73,2020-01-13T17:10:06.4550-0500,637145502064550000,1594678206
3,0,0,67,134,0,096c10aac4214c11a67e10473671a3ca,74,2020-01-13T17:10:47.9390-0500,637145502479390000,1594678248
49,0,0,0,1407,0,096c10aac4214c11a67e10473671a3ca,75,2020-01-13T17:11:06.9670-0500,637145502669670000,1594678267
