Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,Key,Id,Date,DateInTicks,TTL
36,0,0,34,272,0,318c42f457ab4fd291123fd53c06f8fc,1484,2019-12-06T12:44:01.9090-0500,637112330419090000,1591465442
16,0,0,126,0,0,318c42f457ab4fd291123fd53c06f8fc,1485,2019-12-06T12:48:58.8850-0500,637112333388850000,1591465739
15,0,0,18,0,0,318c42f457ab4fd291123fd53c06f8fc,1486,2019-12-06T12:50:18.9210-0500,637112334189210000,1591465819
1,0,0,36,0,0,318c42f457ab4fd291123fd53c06f8fc,1487,2019-12-06T12:54:39.6210-0500,637112336796210000,1591466080
