Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,Key,Id,Date,DateInTicks,TTL
2,0,0,0,420,0,070fce8dd1b0443cafbbad0eccba462e,288,2019-12-19T17:37:13.9060-0500,637123918339060000,1592606234
3,0,0,672,0,0,070fce8dd1b0443cafbbad0eccba462e,289,2019-12-19T17:40:40.8700-0500,637123920408700000,1592606441
8,6,1,420,0,0,070fce8dd1b0443cafbbad0eccba462e,290,2019-12-19T17:52:48.3150-0500,637123927683150000,1592607168
8,7,1,252,0,0,070fce8dd1b0443cafbbad0eccba462e,291,2019-12-19T17:56:31.8470-0500,637123929918470000,1592607392
