Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,Key,Id,Date,DateInTicks,TTL
6,0,0,150,0,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,5769,2020-03-03T18:10:28.0560-0500,637188738280560000,1599174628
15,0,0,30,0,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,5770,2020-03-03T18:11:16.1580-0500,637188738761580000,1599174676
8,0,0,31,62,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,5771,2020-03-03T18:13:37.7040-0500,637188740177040000,1599174818
5,0,0,31,93,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,5772,2020-03-03T18:14:07.0150-0500,637188740470150000,1599174847
