Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,SessionId,Key,Id,Date,DateInTicks,TTL
2,0,0,10,0,0,417db1c3f6c5414092021ff2ca769e22,,09c4d9955cd24c0e97c19a765af8b014,4648,2020-12-15T11:05:05.7650-0500,637436451057650000,1623773106
8,0,0,40,0,0,417db1c3f6c5414092021ff2ca769e22,,09c4d9955cd24c0e97c19a765af8b014,4649,2020-12-15T11:05:24.2580-0500,637436451242580000,1623773124
28,0,0,21,56,0,417db1c3f6c5414092021ff2ca769e22,,09c4d9955cd24c0e97c19a765af8b014,4650,2020-12-15T11:05:50.4280-0500,637436451504280000,1623773150
