Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,Key,Id,Date,DateInTicks,TTL
1,0,0,138,0,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,3183,2020-01-31T10:21:12.4890-0500,637160808724890000,1596208872
76,0,0,621,1794,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,3184,2020-01-31T10:26:15.4900-0500,637160811754900000,1596209175
11,0,0,280,140,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,3185,2020-01-31T10:27:51.7490-0500,637160812717490000,1596209272
1,0,0,284,0,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,3186,2020-01-31T10:28:23.1260-0500,637160813031260000,1596209303
15,0,0,71,0,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,3187,2020-01-31T10:28:53.2660-0500,637160813332660000,1596209333
18,0,0,568,142,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,3188,2020-01-31T10:30:08.9030-0500,637160814089030000,1596209409
15,0,0,72,0,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,3189,2020-01-31T10:31:20.5790-0500,637160814805790000,1596209481
