Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,SessionId,Key,Id,Date,DateInTicks,TTL
9,0,0,0,168,0,417db1c3f6c5414092021ff2ca769e22,,2a8871b1fc3b4bb0a350263e6828086d,1985,2020-09-26T12:29:42.9940-0500,637367381829940000,1616779783
15,0,0,0,48,0,417db1c3f6c5414092021ff2ca769e22,,2a8871b1fc3b4bb0a350263e6828086d,1986,2020-09-26T12:30:14.4120-0500,637367382144120000,1616779814
15,0,0,0,24,0,417db1c3f6c5414092021ff2ca769e22,,2a8871b1fc3b4bb0a350263e6828086d,1987,2020-09-26T12:31:59.0290-0500,637367383190290000,1616779919
