Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,SessionId,Key,Id,Date,DateInTicks,TTL
39,12,4,170,0,0,417db1c3f6c5414092021ff2ca769e22,,09c4d9955cd24c0e97c19a765af8b014,4156,2020-12-03T17:03:02.8390-0500,637426297828390000,1622757783
190,160,3,221,238,0,417db1c3f6c5414092021ff2ca769e22,,09c4d9955cd24c0e97c19a765af8b014,4157,2020-12-03T17:04:13.0670-0500,637426298530670000,1622757853
43,37,1,36,0,0,417db1c3f6c5414092021ff2ca769e22,,09c4d9955cd24c0e97c19a765af8b014,4158,2020-12-03T17:08:19.8470-0500,637426300998470000,1622758100
22,5,2,162,0,0,417db1c3f6c5414092021ff2ca769e22,,09c4d9955cd24c0e97c19a765af8b014,4159,2020-12-03T17:13:09.1800-0500,637426303891800000,1622758389
20,8,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,09c4d9955cd24c0e97c19a765af8b014,4160,2020-12-03T17:14:11.0580-0500,637426304510580000,1622758451
8,3,1,20,0,0,417db1c3f6c5414092021ff2ca769e22,,09c4d9955cd24c0e97c19a765af8b014,4161,2020-12-03T17:15:03.5930-0500,637426305035930000,1622758504
15,0,0,20,0,0,417db1c3f6c5414092021ff2ca769e22,,09c4d9955cd24c0e97c19a765af8b014,4162,2020-12-03T17:15:37.7100-0500,637426305377100000,1622758538
15,0,0,0,140,0,417db1c3f6c5414092021ff2ca769e22,,09c4d9955cd24c0e97c19a765af8b014,4163,2020-12-03T17:16:17.3880-0500,637426305773880000,1622758577
15,0,0,21,0,0,417db1c3f6c5414092021ff2ca769e22,,09c4d9955cd24c0e97c19a765af8b014,4164,2020-12-03T17:17:02.7640-0500,637426306227640000,1622758623
