Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,SessionId,Key,Id,Date,DateInTicks,TTL
4,1,1,78,0,0,417db1c3f6c5414092021ff2ca769e22,,3deadebd599248bba29641f4a89fabb4,1495,2020-11-24T15:48:05.2020-0500,637418476852020000,1621889285
5,1,1,0,160,0,417db1c3f6c5414092021ff2ca769e22,,3deadebd599248bba29641f4a89fabb4,1496,2020-11-24T15:51:16.7030-0500,637418478767030000,1621889477
5,0,0,0,82,0,417db1c3f6c5414092021ff2ca769e22,,3deadebd599248bba29641f4a89fabb4,1497,2020-11-24T15:53:15.7260-0500,637418479957260000,1621889596
