Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,Key,Id,Date,DateInTicks,TTL
15,0,0,20,0,0,417db1c3f6c5414092021ff2ca769e22,2771d4adc72b40348aa70131a605dd15,798,2020-06-08T11:41:58.9500-0500,637272313189500000,1607445719
16,2,2,40,0,0,417db1c3f6c5414092021ff2ca769e22,2771d4adc72b40348aa70131a605dd15,799,2020-06-08T11:44:05.7940-0500,637272314457940000,1607445846
10,6,2,60,0,0,417db1c3f6c5414092021ff2ca769e22,2771d4adc72b40348aa70131a605dd15,800,2020-06-08T11:45:47.5410-0500,637272315475410000,1607445948
3,0,0,60,20,0,417db1c3f6c5414092021ff2ca769e22,2771d4adc72b40348aa70131a605dd15,801,2020-06-08T11:46:36.4490-0500,637272315964490000,1607445996
3,0,0,42,0,0,417db1c3f6c5414092021ff2ca769e22,2771d4adc72b40348aa70131a605dd15,802,2020-06-08T11:47:43.2450-0500,637272316632450000,1607446063
11,1,4,84,0,0,417db1c3f6c5414092021ff2ca769e22,2771d4adc72b40348aa70131a605dd15,803,2020-06-08T11:50:54.5010-0500,637272318545010000,1607446255
28,2,1,132,0,0,417db1c3f6c5414092021ff2ca769e22,2771d4adc72b40348aa70131a605dd15,804,2020-06-08T11:51:42.3360-0500,637272319023360000,1607446302
2,0,0,88,0,0,417db1c3f6c5414092021ff2ca769e22,2771d4adc72b40348aa70131a605dd15,805,2020-06-08T11:52:30.6969-0500,637272319506969000,1607446351
15,0,0,44,0,0,417db1c3f6c5414092021ff2ca769e22,2771d4adc72b40348aa70131a605dd15,806,2020-06-08T11:56:40.5950-0500,637272322005950000,1607446601
15,0,0,23,0,0,417db1c3f6c5414092021ff2ca769e22,2771d4adc72b40348aa70131a605dd15,807,2020-06-08T11:58:46.8580-0500,637272323268580000,1607446727
