Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,Key,Id,Date,DateInTicks,TTL
8,0,0,234,0,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,5915,2020-03-06T19:17:42.8480-0500,637191370628480000,1599437863
16,0,0,57,76,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,5916,2020-03-06T19:18:09.0730-0500,637191370890730000,1599437889
2,0,0,20,60,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,5917,2020-03-06T19:19:19.3230-0500,637191371593230000,1599437959
75,0,0,108,895,0,417db1c3f6c5414092021ff2ca769e22,070fce8dd1b0443cafbbad0eccba462e,5918,2020-03-06T19:23:07.9740-0500,637191373879740000,1599438188
