Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,SessionId,Key,Id,Date,DateInTicks,TTL
40,31,1,2061,0,0,417db1c3f6c5414092021ff2ca769e22,,628ded2887a64a9b8f0d53865c70e090,1001,2021-01-23T13:52:24.6530-0500,637470247446530000,1627066345
5,0,1,687,0,0,417db1c3f6c5414092021ff2ca769e22,,628ded2887a64a9b8f0d53865c70e090,1002,2021-01-23T13:59:06.7790-0500,637470251467790000,1627066747
14,0,0,1145,229,0,417db1c3f6c5414092021ff2ca769e22,,628ded2887a64a9b8f0d53865c70e090,1003,2021-01-23T13:59:41.9710-0500,637470251819710000,1627066782
