Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,Key,Id,Date,DateInTicks,TTL
38,36,1,85,102,0,318c42f457ab4fd291123fd53c06f8fc,1120,2019-11-30T12:38:41.0840-0500,637107143210840000,1590860321
20,0,0,72,90,0,318c42f457ab4fd291123fd53c06f8fc,1121,2019-11-30T12:44:07.4910-0500,637107146474910000,1590860647
20,0,0,0,54,0,318c42f457ab4fd291123fd53c06f8fc,1122,2019-11-30T12:44:46.2940-0500,637107146862940000,1590860686
15,0,0,0,18,0,318c42f457ab4fd291123fd53c06f8fc,1123,2019-11-30T12:45:26.7650-0500,637107147267650000,1590860727
15,0,0,0,18,0,318c42f457ab4fd291123fd53c06f8fc,1124,2019-11-30T12:45:47.6270-0500,637107147476270000,1590860748
5,0,0,19,19,0,318c42f457ab4fd291123fd53c06f8fc,1125,2019-11-30T12:46:26.6030-0500,637107147866030000,1590860787
64,62,1,76,19,0,318c42f457ab4fd291123fd53c06f8fc,1126,2019-11-30T12:46:48.6580-0500,637107148086580000,1590860809
1,0,0,0,57,0,318c42f457ab4fd291123fd53c06f8fc,1127,2019-11-30T12:48:13.1290-0500,637107148931290000,1590860893
27,16,1,0,133,0,318c42f457ab4fd291123fd53c06f8fc,1128,2019-11-30T12:48:35.2010-0500,637107149152010000,1590860915
114,96,2,331,600,0,318c42f457ab4fd291123fd53c06f8fc,1129,2019-11-30T12:49:24.9940-0500,637107149649940000,1590860965
