Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,Key,Id,Date,DateInTicks,TTL
13,0,0,0,6,0,318c42f457ab4fd291123fd53c06f8fc,1085,2019-11-30T10:20:04.5810-0500,637107060045810000,1590852005
15,0,0,0,1,0,318c42f457ab4fd291123fd53c06f8fc,1086,2019-11-30T10:21:44.1810-0500,637107061041810000,1590852104
18,4,1,0,1,0,318c42f457ab4fd291123fd53c06f8fc,1087,2019-11-30T10:22:53.8189-0500,637107061738189000,1590852174
284,0,0,0,135,0,318c42f457ab4fd291123fd53c06f8fc,1088,2019-11-30T10:23:16.4360-0500,637107061964360000,1590852196
2,0,0,0,4,0,318c42f457ab4fd291123fd53c06f8fc,1089,2019-11-30T10:30:35.1570-0500,637107066351570000,1590852635
