Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,Key,Id,Date,DateInTicks,TTL
1975,0,1,0,193,0,1e8656f6b89c4f19bd47cb8bef23b4fa,3109,2019-12-12T18:45:00.4410-0500,637117911004410000,1592005500
8,0,0,0,0,0,1e8656f6b89c4f19bd47cb8bef23b4fa,3110,2019-12-12T19:18:31.7420-0500,637117931117420000,1592007512
27,0,1,0,9,0,1e8656f6b89c4f19bd47cb8bef23b4fa,3111,2019-12-12T19:18:41.7570-0500,637117931217570000,1592007522
8,0,0,0,0,0,1e8656f6b89c4f19bd47cb8bef23b4fa,3112,2019-12-12T19:19:30.6300-0500,637117931706300000,1592007571
