Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,SessionId,Key,Id,Date,DateInTicks,TTL
5,0,0,45,0,0,417db1c3f6c5414092021ff2ca769e22,,2f8ec18d8a764803b73ec9cf13d661a9,2052,2020-10-21T14:51:13.5170-0400,637389030735170000,1619031074
15,0,0,72,0,0,417db1c3f6c5414092021ff2ca769e22,,2f8ec18d8a764803b73ec9cf13d661a9,2053,2020-10-21T14:51:34.2270-0400,637389030942270000,1619031094
15,0,0,9,0,0,417db1c3f6c5414092021ff2ca769e22,,2f8ec18d8a764803b73ec9cf13d661a9,2054,2020-10-21T14:54:32.8940-0400,637389032728940000,1619031273
