Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,Key,Id,Date,DateInTicks,TTL
10,8,1,84,0,0,1e8656f6b89c4f19bd47cb8bef23b4fa,2445,2019-12-04T16:39:56.9970-0500,637110743969970000,1591306797
15,0,0,126,0,0,1e8656f6b89c4f19bd47cb8bef23b4fa,2446,2019-12-04T16:41:15.1460-0500,637110744751460000,1591306875
7,0,2,126,0,0,1e8656f6b89c4f19bd47cb8bef23b4fa,2447,2019-12-04T16:41:32.0930-0500,637110744920930000,1591306892
4,0,0,126,0,0,1e8656f6b89c4f19bd47cb8bef23b4fa,2448,2019-12-04T16:42:57.1940-0500,637110745771940000,1591306977
13,1,1,126,84,0,1e8656f6b89c4f19bd47cb8bef23b4fa,2449,2019-12-04T16:43:29.3420-0500,637110746093420000,1591307009
9,0,0,42,42,0,1e8656f6b89c4f19bd47cb8bef23b4fa,2450,2019-12-04T16:44:33.7670-0500,637110746737670000,1591307074
8,0,0,126,126,0,1e8656f6b89c4f19bd47cb8bef23b4fa,2451,2019-12-04T16:44:58.5629-0500,637110746985629000,1591307099
10,8,2,126,0,0,1e8656f6b89c4f19bd47cb8bef23b4fa,2452,2019-12-04T16:47:08.3070-0500,637110748283070000,1591307228
15,0,0,126,0,0,1e8656f6b89c4f19bd47cb8bef23b4fa,2453,2019-12-04T16:47:57.5580-0500,637110748775580000,1591307278
20,19,1,168,126,0,1e8656f6b89c4f19bd47cb8bef23b4fa,2454,2019-12-04T16:48:23.0850-0500,637110749030850000,1591307303
