Duration,MovementDuration,MovementInteractions,ArkboxInteractions,StandardInteractions,HardwareInteractions,TenantId,SessionId,Key,Id,Date,DateInTicks,TTL
18,0,3,140,0,0,417db1c3f6c5414092021ff2ca769e22,,66b8bedb0e554a6bb58ed73e323e3b28,1056,2020-09-19T17:55:04.3340-0400,637361493043340000,1616190904
15,0,0,70,0,0,417db1c3f6c5414092021ff2ca769e22,,66b8bedb0e554a6bb58ed73e323e3b28,1057,2020-09-19T17:58:35.4270-0400,637361495154270000,1616191115
12,7,1,980,0,0,417db1c3f6c5414092021ff2ca769e22,,66b8bedb0e554a6bb58ed73e323e3b28,1058,2020-09-19T18:01:57.6420-0400,637361497176420000,1616191318
8,6,1,72,0,0,417db1c3f6c5414092021ff2ca769e22,,66b8bedb0e554a6bb58ed73e323e3b28,1059,2020-09-19T18:03:11.7160-0400,637361497917160000,1616191392
15,13,1,0,504,0,417db1c3f6c5414092021ff2ca769e22,,66b8bedb0e554a6bb58ed73e323e3b28,1060,2020-09-19T18:03:39.5940-0400,637361498195940000,1616191420
17,5,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,66b8bedb0e554a6bb58ed73e323e3b28,1061,2020-09-19T18:06:22.1760-0400,637361499821760000,1616191582
5,0,0,0,144,0,417db1c3f6c5414092021ff2ca769e22,,66b8bedb0e554a6bb58ed73e323e3b28,1062,2020-09-19T18:14:19.5990-0400,637361504595990000,1616192060
17,4,1,0,0,0,417db1c3f6c5414092021ff2ca769e22,,66b8bedb0e554a6bb58ed73e323e3b28,1063,2020-09-19T18:23:07.0720-0400,637361509870720000,1616192587
